0.096830,0.321297,3.309795
0.000000,0.321557,3.215570
0.000000,0.320703,3.207029
0.000000,0.322730,3.227300
0.000000,0.321024,3.210243
0.000000,0.321176,3.211755
0.000000,0.321816,3.218163
0.000000,0.321534,3.215343
0.000000,0.322707,3.227069
0.000000,0.322659,3.226589
0.000000,0.322345,3.223452
0.000000,0.322808,3.228080
0.000000,0.321741,3.217411
0.000000,0.319481,3.194813
0.000000,0.320872,3.208715
0.000000,0.321797,3.217972
0.000000,0.319957,3.199568
0.000000,0.321603,3.216030
0.000000,0.322092,3.220924
0.000000,0.323986,3.239862
0.000000,0.319653,3.196531
